Date,Price,Open,High,Low,Vol.,Change %,Name
3-Feb-23,"23,431.20","23,429.10","23,694.10","23,233.80",349.36K,0.02%,Bitcoin
2-Feb-23,"23,427.60","23,726.20","24,207.20","23,398.10",382.86K,-1.26%,Bitcoin
1-Feb-23,"23,725.60","23,124.70","23,784.50","22,809.60",333.18K,2.60%,Bitcoin
31-Jan-23,"23,125.10","22,832.20","23,262.90","22,724.90",289.38K,1.28%,Bitcoin
30-Jan-23,"22,832.20","23,746.00","23,794.00","22,560.00",339.62K,-3.88%,Bitcoin
29-Jan-23,"23,753.10","23,023.50","23,952.90","22,973.30",320.86K,3.15%,Bitcoin
28-Jan-23,"23,027.90","23,074.60","23,182.30","22,889.80",156.96K,-0.20%,Bitcoin
27-Jan-23,"23,074.60","23,016.00","23,480.30","22,602.90",310.36K,0.25%,Bitcoin
26-Jan-23,"23,016.00","23,055.20","23,259.50","22,869.00",320.97K,-0.17%,Bitcoin
25-Jan-23,"23,055.10","22,632.50","23,779.00","22,366.30",388.18K,1.87%,Bitcoin
24-Jan-23,"22,632.50","22,916.30","23,156.10","22,517.10",334.17K,-1.23%,Bitcoin
23-Jan-23,"22,915.50","22,709.00","23,161.80","22,527.90",327.85K,0.91%,Bitcoin
22-Jan-23,"22,707.80","22,775.70","23,068.70","22,323.00",280.64K,-0.30%,Bitcoin
21-Jan-23,"22,775.70","22,677.50","23,304.50","22,461.10",382.69K,0.43%,Bitcoin
20-Jan-23,"22,677.20","21,074.90","22,718.50","20,879.30",373.74K,7.57%,Bitcoin
19-Jan-23,"21,081.20","20,670.60","21,169.40","20,669.70",275.76K,1.99%,Bitcoin
18-Jan-23,"20,670.60","21,137.10","21,584.10","20,448.30",388.67K,-2.21%,Bitcoin
17-Jan-23,"21,137.10","21,184.40","21,506.40","20,926.20",310.04K,-0.22%,Bitcoin
16-Jan-23,"21,184.20","20,880.10","21,416.80","20,698.90",337.46K,1.46%,Bitcoin
15-Jan-23,"20,879.80","20,956.00","21,032.20","20,585.70",205.80K,-0.37%,Bitcoin
14-Jan-23,"20,958.20","19,926.90","21,185.60","19,898.60",458.21K,5.17%,Bitcoin
13-Jan-23,"19,927.00","18,850.80","19,981.60","18,723.80",426.67K,5.71%,Bitcoin
12-Jan-23,"18,851.30","17,941.00","19,055.30","17,915.50",522.01K,5.07%,Bitcoin
11-Jan-23,"17,942.30","17,440.50","17,989.80","17,323.90",291.53K,2.89%,Bitcoin
10-Jan-23,"17,439.10","17,180.10","17,491.00","17,151.70",247.14K,1.51%,Bitcoin
9-Jan-23,"17,180.10","17,119.00","17,390.80","17,107.10",301.24K,0.36%,Bitcoin
8-Jan-23,"17,119.00","16,943.60","17,119.00","16,913.80",144.84K,1.04%,Bitcoin
7-Jan-23,"16,943.60","16,950.90","16,979.60","16,909.70",110.48K,-0.04%,Bitcoin
6-Jan-23,"16,950.90","16,829.80","17,012.30","16,707.60",233.47K,0.72%,Bitcoin
5-Jan-23,"16,829.80","16,852.20","16,877.90","16,772.30",178.96K,-0.13%,Bitcoin
4-Jan-23,"16,852.10","16,674.20","16,976.50","16,656.50",247.39K,1.07%,Bitcoin
3-Jan-23,"16,674.20","16,673.10","16,773.20","16,607.20",178.73K,0.00%,Bitcoin
2-Jan-23,"16,674.30","16,618.40","16,766.90","16,551.00",136.03K,0.34%,Bitcoin
1-Jan-23,"16,618.40","16,537.50","16,621.90","16,499.70",107.84K,0.49%,Bitcoin
31-Dec-22,"16,537.40","16,607.20","16,635.90","16,487.30",130.44K,-0.42%,Bitcoin
30-Dec-22,"16,607.20","16,636.40","16,644.40","16,360.00",192.76K,-0.18%,Bitcoin
29-Dec-22,"16,636.40","16,546.20","16,659.10","16,496.60",181.47K,0.55%,Bitcoin
28-Dec-22,"16,546.20","16,705.90","16,781.10","16,474.20",217.96K,-0.96%,Bitcoin
27-Dec-22,"16,706.10","16,918.20","16,964.00","16,610.10",192.18K,-1.25%,Bitcoin
26-Dec-22,"16,918.10","16,831.80","16,936.10","16,799.40",133.36K,0.51%,Bitcoin
25-Dec-22,"16,831.80","16,835.70","16,852.90","16,733.00",132.89K,-0.03%,Bitcoin
24-Dec-22,"16,837.20","16,778.60","16,855.80","16,777.80",110.12K,0.35%,Bitcoin
23-Dec-22,"16,779.10","16,820.50","16,910.70","16,768.00",184.12K,-0.25%,Bitcoin
22-Dec-22,"16,820.60","16,831.80","16,862.20","16,566.10",198.28K,-0.07%,Bitcoin
21-Dec-22,"16,831.80","16,902.70","16,919.40","16,735.00",174.34K,-0.42%,Bitcoin
20-Dec-22,"16,902.80","16,441.30","17,031.30","16,400.70",284.57K,2.81%,Bitcoin
19-Dec-22,"16,441.30","16,741.10","16,809.50","16,331.20",207.93K,-1.79%,Bitcoin
18-Dec-22,"16,741.10","16,777.00","16,825.70","16,666.50",124.29K,-0.21%,Bitcoin
17-Dec-22,"16,777.10","16,629.00","16,794.40","16,587.00",164.49K,0.89%,Bitcoin
16-Dec-22,"16,629.60","17,356.70","17,518.50","16,542.40",303.56K,-4.19%,Bitcoin
15-Dec-22,"17,356.10","17,796.40","17,846.10","17,298.20",263.44K,-2.47%,Bitcoin
14-Dec-22,"17,796.40","17,778.60","18,351.80","17,682.10",318.98K,0.10%,Bitcoin
13-Dec-22,"17,778.60","17,210.90","17,951.60","17,094.50",328.71K,3.30%,Bitcoin
12-Dec-22,"17,210.40","17,093.20","17,232.50","16,878.50",249.39K,0.68%,Bitcoin
11-Dec-22,"17,093.30","17,127.00","17,262.90","17,080.60",167.20K,-0.20%,Bitcoin
10-Dec-22,"17,127.20","17,125.70","17,220.50","17,105.70",148.81K,0.01%,Bitcoin
9-Dec-22,"17,125.70","17,225.60","17,288.60","17,082.10",260.84K,-0.58%,Bitcoin
8-Dec-22,"17,225.70","16,835.20","17,294.20","16,765.80",261.64K,2.32%,Bitcoin
7-Dec-22,"16,835.20","17,089.40","17,126.70","16,715.30",244.36K,-1.49%,Bitcoin
6-Dec-22,"17,089.30","16,966.30","17,101.10","16,914.90",246.19K,0.72%,Bitcoin
5-Dec-22,"16,966.50","17,106.90","17,395.20","16,886.90",268.72K,-0.85%,Bitcoin
4-Dec-22,"17,112.60","16,884.80","17,198.10","16,881.60",197.12K,1.35%,Bitcoin
3-Dec-22,"16,884.50","17,093.40","17,132.60","16,862.10",169.29K,-1.22%,Bitcoin
2-Dec-22,"17,093.60","16,972.20","17,096.20","16,799.90",227.01K,0.72%,Bitcoin
1-Dec-22,"16,972.00","17,163.40","17,244.70","16,868.90",266.14K,-1.12%,Bitcoin
30-Nov-22,"17,163.90","16,440.80","17,215.50","16,433.20",348.22K,4.40%,Bitcoin
29-Nov-22,"16,440.40","16,211.90","16,531.40","16,100.10",271.58K,1.41%,Bitcoin
28-Nov-22,"16,211.70","16,426.10","16,481.40","16,013.50",284.84K,-1.30%,Bitcoin
27-Nov-22,"16,425.60","16,456.40","16,595.40","16,414.60",173.25K,-0.19%,Bitcoin
26-Nov-22,"16,456.50","16,512.30","16,686.30","16,387.90",194.94K,-0.34%,Bitcoin
25-Nov-22,"16,512.30","16,600.60","16,611.80","16,360.90",204.07K,-0.54%,Bitcoin
24-Nov-22,"16,601.20","16,604.90","16,785.60","16,472.00",229.59K,-0.14%,Bitcoin
23-Nov-22,"16,623.90","16,216.90","16,677.60","16,162.30",305.08K,2.53%,Bitcoin
22-Nov-22,"16,212.90","15,776.60","16,274.60","15,620.40",287.21K,2.77%,Bitcoin
21-Nov-22,"15,776.20","16,278.60","16,287.90","15,504.20",372.15K,-3.13%,Bitcoin
20-Nov-22,"16,286.70","16,699.30","16,749.30","16,209.20",172.83K,-2.47%,Bitcoin
19-Nov-22,"16,699.20","16,652.20","16,814.90","16,608.90",114.89K,0.37%,Bitcoin
18-Nov-22,"16,638.30","16,715.40","16,846.30","16,553.00",241.96K,-0.32%,Bitcoin
17-Nov-22,"16,691.20","16,540.50","16,739.70","16,425.80",257.00K,0.91%,Bitcoin
16-Nov-22,"16,540.50","16,895.40","16,993.40","16,408.20",295.73K,-2.10%,Bitcoin
15-Nov-22,"16,895.10","16,615.00","17,112.00","16,543.90",337.15K,1.69%,Bitcoin
14-Nov-22,"16,613.70","16,325.00","17,158.40","15,834.00",442.46K,1.77%,Bitcoin
13-Nov-22,"16,324.50","16,803.90","16,946.50","16,274.90",210.80K,-2.80%,Bitcoin
12-Nov-22,"16,795.20","17,049.90","17,100.80","16,633.90",192.91K,-1.49%,Bitcoin
11-Nov-22,"17,049.90","17,589.10","17,679.40","16,435.50",466.35K,-3.07%,Bitcoin
10-Nov-22,"17,589.10","15,887.00","18,138.20","15,799.30",720.74K,10.71%,Bitcoin
9-Nov-22,"15,886.90","18,538.90","18,583.80","15,603.30",869.57K,-14.25%,Bitcoin
8-Nov-22,"18,527.40","20,589.00","20,667.50","17,260.00",865.10K,-10.01%,Bitcoin
7-Nov-22,"20,589.00","20,916.30","21,055.40","20,410.50",414.24K,-1.56%,Bitcoin
6-Nov-22,"20,916.30","21,298.70","21,360.40","20,901.00",242.26K,-1.81%,Bitcoin
5-Nov-22,"21,301.60","21,145.70","21,464.70","21,084.10",261.23K,0.74%,Bitcoin
4-Nov-22,"21,145.90","20,206.40","21,281.90","20,184.60",499.50K,4.65%,Bitcoin
3-Nov-22,"20,206.40","20,154.00","20,384.50","20,066.60",347.23K,0.26%,Bitcoin
2-Nov-22,"20,154.40","20,482.90","20,778.30","20,065.80",420.23K,-1.61%,Bitcoin
1-Nov-22,"20,483.50","20,496.10","20,676.60","20,348.10",302.72K,-0.06%,Bitcoin
31-Oct-22,"20,496.30","20,626.00","20,822.40","20,260.00",327.47K,-0.63%,Bitcoin
30-Oct-22,"20,626.30","20,809.40","20,922.30","20,522.50",207.63K,-0.88%,Bitcoin
29-Oct-22,"20,809.80","20,594.20","21,038.10","20,561.90",276.54K,1.05%,Bitcoin
28-Oct-22,"20,594.40","20,293.00","20,744.00","20,058.20",318.90K,1.49%,Bitcoin
27-Oct-22,"20,292.90","20,769.50","20,867.90","20,231.60",365.49K,-2.29%,Bitcoin
26-Oct-22,"20,769.50","20,086.80","20,981.50","20,062.90",427.99K,3.42%,Bitcoin
25-Oct-22,"20,082.70","19,331.80","20,406.90","19,249.00",371.54K,3.89%,Bitcoin
24-Oct-22,"19,331.50","19,571.20","19,588.60","19,177.20",286.94K,-1.22%,Bitcoin
23-Oct-22,"19,571.20","19,204.80","19,680.90","19,092.50",180.63K,1.91%,Bitcoin
22-Oct-22,"19,204.80","19,162.60","19,249.90","19,116.10",118.24K,0.22%,Bitcoin
21-Oct-22,"19,162.60","19,042.90","19,245.50","18,703.30",294.66K,0.63%,Bitcoin
20-Oct-22,"19,042.90","19,125.10","19,334.50","18,935.60",253.20K,-0.42%,Bitcoin
19-Oct-22,"19,123.90","19,328.20","19,358.60","19,101.20",209.28K,-1.06%,Bitcoin
18-Oct-22,"19,328.20","19,548.40","19,692.90","19,102.80",290.07K,-1.13%,Bitcoin
17-Oct-22,"19,548.20","19,262.20","19,663.50","19,163.60",248.40K,1.49%,Bitcoin
16-Oct-22,"19,261.90","19,068.80","19,411.90","19,066.00",140.95K,1.01%,Bitcoin
15-Oct-22,"19,068.70","19,181.70","19,218.70","19,000.80",123.66K,-0.59%,Bitcoin
14-Oct-22,"19,181.80","19,379.80","19,933.90","19,098.60",400.45K,-1.02%,Bitcoin
13-Oct-22,"19,379.80","19,154.60","19,494.40","18,207.90",455.13K,1.17%,Bitcoin
12-Oct-22,"19,154.80","19,058.50","19,212.60","19,010.60",242.18K,0.50%,Bitcoin
11-Oct-22,"19,059.10","19,134.30","19,261.30","18,868.70",288.57K,-0.39%,Bitcoin
10-Oct-22,"19,134.60","19,441.70","19,520.70","19,057.00",243.77K,-1.58%,Bitcoin
9-Oct-22,"19,441.00","19,416.30","19,552.10","19,329.60",127.53K,0.13%,Bitcoin
8-Oct-22,"19,415.00","19,530.20","19,612.20","19,274.70",113.50K,-0.60%,Bitcoin
7-Oct-22,"19,531.30","19,962.40","20,051.40","19,352.10",263.50K,-2.13%,Bitcoin
6-Oct-22,"19,956.70","20,157.50","20,436.70","19,873.70",370.60K,-1.00%,Bitcoin
5-Oct-22,"20,157.50","20,340.50","20,353.80","19,761.70",352.76K,-0.90%,Bitcoin
4-Oct-22,"20,340.20","19,629.70","20,436.10","19,506.40",368.17K,3.63%,Bitcoin
3-Oct-22,"19,628.30","19,057.60","19,676.00","19,001.30",333.03K,3.02%,Bitcoin
2-Oct-22,"19,052.20","19,311.90","19,389.90","18,937.30",222.82K,-1.34%,Bitcoin
1-Oct-22,"19,311.90","19,422.90","19,480.30","19,172.60",173.91K,-0.57%,Bitcoin
30-Sep-22,"19,423.00","19,593.40","20,174.90","19,208.90",490.29K,-0.87%,Bitcoin
29-Sep-22,"19,593.00","19,420.20","19,631.50","18,877.90",449.57K,0.94%,Bitcoin
28-Sep-22,"19,411.00","19,083.40","19,757.80","18,505.30",581.19K,1.73%,Bitcoin
27-Sep-22,"19,081.00","19,228.80","20,361.20","18,850.40",660.12K,-0.75%,Bitcoin
26-Sep-22,"19,225.70","18,803.10","19,304.80","18,695.20",516.03K,2.25%,Bitcoin
25-Sep-22,"18,803.20","18,925.10","19,125.10","18,659.60",209.71K,-0.64%,Bitcoin
24-Sep-22,"18,925.20","19,288.40","19,310.60","18,812.00",258.50K,-1.91%,Bitcoin
23-Sep-22,"19,293.50","19,404.10","19,477.30","18,554.80",431.15K,-0.57%,Bitcoin
22-Sep-22,"19,404.00","18,488.10","19,490.90","18,371.00",448.63K,4.95%,Bitcoin
21-Sep-22,"18,489.00","18,875.10","19,758.40","18,191.80",446.85K,-2.03%,Bitcoin
20-Sep-22,"18,872.40","19,538.90","19,626.30","18,742.60",361.18K,-3.41%,Bitcoin
19-Sep-22,"19,538.90","19,417.40","19,666.60","18,277.80",423.43K,0.62%,Bitcoin
18-Sep-22,"19,418.80","20,113.90","20,113.90","19,347.70",273.11K,-3.45%,Bitcoin
17-Sep-22,"20,113.50","19,802.80","20,178.60","19,761.00",204.58K,1.57%,Bitcoin
16-Sep-22,"19,802.40","19,701.90","19,883.00","19,352.90",315.59K,0.51%,Bitcoin
15-Sep-22,"19,701.70","20,222.30","20,321.40","19,532.30",358.42K,-2.58%,Bitcoin
14-Sep-22,"20,222.50","20,175.50","20,503.70","19,654.20",374.22K,0.23%,Bitcoin
13-Sep-22,"20,175.50","22,395.30","22,702.50","19,909.60",485.32K,-9.91%,Bitcoin
12-Sep-22,"22,395.30","21,836.60","22,465.40","21,581.60",431.98K,2.57%,Bitcoin
11-Sep-22,"21,834.90","21,650.40","21,836.40","21,363.00",297.12K,0.85%,Bitcoin
10-Sep-22,"21,650.40","21,363.80","21,790.60","21,139.90",331.12K,1.33%,Bitcoin
9-Sep-22,"21,365.20","19,318.80","21,545.70","19,294.10",480.37K,10.60%,Bitcoin
8-Sep-22,"19,317.40","19,281.50","19,444.70","19,034.50",291.43K,0.19%,Bitcoin
7-Sep-22,"19,281.50","18,786.30","19,445.90","18,548.40",319.10K,2.64%,Bitcoin
6-Sep-22,"18,786.40","19,793.40","20,169.30","18,723.30",402.43K,-5.09%,Bitcoin
5-Sep-22,"19,793.10","19,999.90","20,042.90","19,650.70",238.71K,-1.03%,Bitcoin
4-Sep-22,"19,999.90","19,832.20","20,017.80","19,594.70",158.27K,0.85%,Bitcoin
3-Sep-22,"19,831.40","19,952.80","20,043.80","19,660.70",157.85K,-0.61%,Bitcoin
2-Sep-22,"19,952.70","20,131.60","20,428.20","19,764.70",272.22K,-0.86%,Bitcoin
1-Sep-22,"20,126.10","20,049.90","20,202.70","19,584.40",275.08K,0.41%,Bitcoin
31-Aug-22,"20,043.90","19,793.40","20,469.10","19,793.40",318.17K,1.27%,Bitcoin
30-Aug-22,"19,792.60","20,295.60","20,558.20","19,559.70",308.41K,-2.48%,Bitcoin
29-Aug-22,"20,295.80","19,551.30","20,394.50","19,551.20",248.04K,3.81%,Bitcoin
28-Aug-22,"19,550.20","20,034.20","20,150.80","19,542.90",159.60K,-2.41%,Bitcoin
27-Aug-22,"20,033.90","20,249.90","20,343.60","19,849.80",187.34K,-1.07%,Bitcoin
26-Aug-22,"20,249.90","21,564.20","21,815.30","20,122.40",322.16K,-6.10%,Bitcoin
25-Aug-22,"21,565.40","21,365.40","21,801.20","21,324.80",190.15K,0.94%,Bitcoin
24-Aug-22,"21,365.20","21,516.20","21,832.30","21,171.10",202.40K,-0.71%,Bitcoin
23-Aug-22,"21,517.20","21,416.50","21,661.00","20,919.60",228.65K,0.47%,Bitcoin
22-Aug-22,"21,416.30","21,516.80","21,517.40","20,912.10",251.83K,-0.47%,Bitcoin
21-Aug-22,"21,517.20","21,138.90","21,692.40","21,077.40",177.52K,1.79%,Bitcoin
20-Aug-22,"21,138.90","20,830.70","21,357.40","20,784.80",206.94K,1.48%,Bitcoin
19-Aug-22,"20,831.30","23,201.60","23,202.30","20,807.80",339.47K,-10.22%,Bitcoin
18-Aug-22,"23,203.60","23,337.70","23,578.00","23,131.30",160.97K,-0.58%,Bitcoin
17-Aug-22,"23,338.00","23,855.80","24,423.50","23,191.60",239.53K,-2.17%,Bitcoin
16-Aug-22,"23,856.80","24,102.60","24,240.80","23,693.80",201.70K,-1.02%,Bitcoin
15-Aug-22,"24,101.70","24,303.30","25,205.70","23,784.50",279.28K,-0.83%,Bitcoin
14-Aug-22,"24,302.80","24,442.10","24,997.30","24,172.20",177.25K,-0.57%,Bitcoin
13-Aug-22,"24,442.50","24,398.90","24,882.90","24,318.70",170.59K,0.18%,Bitcoin
12-Aug-22,"24,398.70","23,935.30","24,440.80","23,616.40",194.96K,1.94%,Bitcoin
11-Aug-22,"23,935.30","23,963.30","24,873.50","23,864.00",285.36K,-0.12%,Bitcoin
10-Aug-22,"23,962.90","23,150.30","24,209.90","22,714.70",243.61K,3.53%,Bitcoin
9-Aug-22,"23,146.70","23,818.10","23,912.00","22,886.50",169.62K,-2.81%,Bitcoin
8-Aug-22,"23,816.30","23,175.30","24,234.10","23,160.60",197.94K,2.77%,Bitcoin
7-Aug-22,"23,175.30","22,944.20","23,387.70","22,852.30",99.36K,1.01%,Bitcoin
6-Aug-22,"22,944.20","23,308.20","23,344.40","22,923.60",94.44K,-1.56%,Bitcoin
5-Aug-22,"23,308.20","22,613.30","23,447.60","22,593.50",208.90K,3.08%,Bitcoin
4-Aug-22,"22,612.10","22,822.20","23,214.50","22,438.70",181.19K,-0.91%,Bitcoin
3-Aug-22,"22,820.80","22,988.70","23,623.70","22,698.60",174.66K,-0.73%,Bitcoin
2-Aug-22,"22,988.60","23,271.10","23,423.30","22,670.80",177.30K,-1.21%,Bitcoin
1-Aug-22,"23,271.20","23,303.40","23,484.40","22,863.80",162.33K,-0.14%,Bitcoin
31-Jul-22,"23,303.40","23,634.20","24,179.30","23,236.20",138.84K,-1.40%,Bitcoin
30-Jul-22,"23,634.20","23,774.20","24,605.30","23,521.80",168.72K,-0.59%,Bitcoin
29-Jul-22,"23,774.30","23,850.20","24,340.00","23,451.40",221.66K,-0.32%,Bitcoin
28-Jul-22,"23,850.00","22,957.70","24,190.50","22,611.60",268.32K,3.88%,Bitcoin
27-Jul-22,"22,958.30","21,248.00","23,027.80","21,047.50",242.66K,8.05%,Bitcoin
26-Jul-22,"21,248.70","21,301.60","21,322.30","20,737.30",201.57K,-0.25%,Bitcoin
25-Jul-22,"21,301.90","22,582.30","22,653.30","21,275.40",206.93K,-5.67%,Bitcoin
24-Jul-22,"22,582.10","22,449.80","22,987.90","22,281.30",126.66K,0.54%,Bitcoin
23-Jul-22,"22,460.40","22,683.60","22,991.00","21,971.70",137.42K,-0.95%,Bitcoin
22-Jul-22,"22,675.20","23,150.00","23,741.40","22,524.20",197.54K,-2.06%,Bitcoin
21-Jul-22,"23,153.00","23,219.90","23,403.80","22,360.20",217.08K,-0.27%,Bitcoin
20-Jul-22,"23,215.20","23,412.00","24,258.00","22,944.40",281.31K,-0.83%,Bitcoin
19-Jul-22,"23,410.20","22,529.30","23,757.30","21,581.80",308.91K,3.93%,Bitcoin
18-Jul-22,"22,525.80","20,785.60","22,714.90","20,770.60",279.72K,8.37%,Bitcoin
17-Jul-22,"20,785.60","21,209.80","21,654.40","20,755.20",132.81K,-2.00%,Bitcoin
16-Jul-22,"21,209.90","20,825.20","21,561.30","20,484.40",136.89K,1.85%,Bitcoin
15-Jul-22,"20,825.10","20,586.10","21,178.10","20,393.40",164.67K,1.16%,Bitcoin
14-Jul-22,"20,586.00","20,250.00","20,862.20","19,664.90",205.28K,1.66%,Bitcoin
13-Jul-22,"20,250.00","19,331.60","20,250.80","18,942.20",249.38K,4.75%,Bitcoin
12-Jul-22,"19,330.90","19,963.20","20,051.70","19,279.60",167.91K,-3.17%,Bitcoin
11-Jul-22,"19,963.20","20,847.20","20,855.00","19,897.00",160.20K,-4.24%,Bitcoin
10-Jul-22,"20,847.40","21,587.40","21,599.20","20,689.70",204.68K,-3.43%,Bitcoin
9-Jul-22,"21,587.50","21,610.40","21,944.10","21,338.40",190.11K,-0.11%,Bitcoin
8-Jul-22,"21,611.20","21,637.10","22,482.10","21,207.00",439.90K,-0.12%,Bitcoin
7-Jul-22,"21,637.80","20,557.90","21,817.80","20,282.70",115.81K,5.24%,Bitcoin
6-Jul-22,"20,561.10","20,180.40","20,654.90","19,785.30",105.24K,1.78%,Bitcoin
5-Jul-22,"20,200.60","20,215.80","20,706.90","19,315.40",122.43K,-0.08%,Bitcoin
4-Jul-22,"20,215.80","19,310.60","20,303.80","19,052.50",92.79K,4.69%,Bitcoin
3-Jul-22,"19,309.90","19,243.40","19,626.40","18,794.40",65.27K,0.35%,Bitcoin
2-Jul-22,"19,243.20","19,275.40","19,425.40","19,006.40",58.57K,-0.10%,Bitcoin
1-Jul-22,"19,262.90","19,926.60","20,785.60","18,980.10",150.18K,-3.33%,Bitcoin
30-Jun-22,"19,926.60","20,111.30","20,155.10","18,682.70",127.73K,-0.92%,Bitcoin
29-Jun-22,"20,111.30","20,278.00","20,415.80","19,880.70",98.97K,-0.82%,Bitcoin
28-Jun-22,"20,278.00","20,727.90","21,200.20","20,210.50",83.83K,-2.18%,Bitcoin
27-Jun-22,"20,730.20","21,037.70","21,497.50","20,568.00",84.69K,-1.49%,Bitcoin
26-Jun-22,"21,043.50","21,489.90","21,837.40","20,989.70",67.21K,-2.08%,Bitcoin
25-Jun-22,"21,489.90","21,226.90","21,553.40","20,917.50",66.63K,1.24%,Bitcoin
24-Jun-22,"21,226.90","21,100.90","21,488.70","20,743.90",104.56K,0.60%,Bitcoin
23-Jun-22,"21,100.70","19,967.30","21,189.80","19,907.50",110.70K,5.68%,Bitcoin
22-Jun-22,"19,965.80","20,720.20","20,864.30","19,780.20",125.94K,-3.64%,Bitcoin
21-Jun-22,"20,720.40","20,571.60","21,689.30","20,371.70",136.32K,0.72%,Bitcoin
20-Jun-22,"20,572.30","20,576.90","20,996.80","19,658.80",140.60K,-0.02%,Bitcoin
19-Jun-22,"20,577.20","18,983.40","20,763.50","17,983.70",169.39K,8.38%,Bitcoin
18-Jun-22,"18,986.50","20,446.40","20,744.70","17,630.50",267.25K,-7.13%,Bitcoin
17-Jun-22,"20,444.60","20,391.30","21,315.40","20,244.10",136.27K,0.28%,Bitcoin
16-Jun-22,"20,386.60","22,577.90","22,942.10","20,231.10",144.00K,-9.71%,Bitcoin
15-Jun-22,"22,577.90","22,137.50","22,754.40","20,125.80",280.41K,1.90%,Bitcoin
14-Jun-22,"22,157.30","22,449.10","23,200.30","20,860.90",251.01K,-1.29%,Bitcoin
13-Jun-22,"22,448.00","26,606.30","26,857.60","22,006.30",379.26K,-15.63%,Bitcoin
12-Jun-22,"26,606.30","28,404.00","28,534.80","26,606.30",120.02K,-6.33%,Bitcoin
11-Jun-22,"28,403.40","29,083.30","29,426.60","28,161.80",82.92K,-2.34%,Bitcoin
10-Jun-22,"29,083.30","30,097.40","30,325.60","28,884.90",104.26K,-3.37%,Bitcoin
9-Jun-22,"30,097.80","30,202.10","30,691.40","29,953.80",61.72K,-0.34%,Bitcoin
8-Jun-22,"30,201.60","31,127.20","31,312.10","29,874.80",87.96K,-2.98%,Bitcoin
7-Jun-22,"31,128.80","31,370.30","31,556.60","29,235.00",140.32K,-0.76%,Bitcoin
6-Jun-22,"31,367.60","29,911.20","31,753.40","29,888.60",94.01K,4.86%,Bitcoin
5-Jun-22,"29,913.00","29,865.10","30,166.90","29,539.00",30.33K,0.16%,Bitcoin
4-Jun-22,"29,864.30","29,700.90","29,963.80","29,489.50",33.51K,0.55%,Bitcoin
3-Jun-22,"29,700.90","30,455.70","30,674.80","29,330.80",72.13K,-2.48%,Bitcoin
2-Jun-22,"30,455.50","29,798.60","30,638.50","29,604.40",81.40K,2.20%,Bitcoin
1-Jun-22,"29,798.50","31,793.10","31,969.90","29,396.60",135.09K,-6.27%,Bitcoin
31-May-22,"31,793.40","31,730.20","32,377.50","31,221.20",86.60K,0.22%,Bitcoin
30-May-22,"31,723.30","29,465.20","32,185.60","29,307.20",129.56K,7.66%,Bitcoin
29-May-22,"29,465.20","29,027.10","29,556.50","28,838.70",36.87K,1.51%,Bitcoin
28-May-22,"29,027.10","28,620.10","29,194.40","28,537.20",43.87K,1.49%,Bitcoin
27-May-22,"28,601.20","29,194.00","29,377.10","28,282.20",116.41K,-2.06%,Bitcoin
26-May-22,"29,203.50","29,537.90","29,868.90","28,077.90",126.71K,-1.14%,Bitcoin
25-May-22,"29,540.60","29,648.70","30,202.30","29,353.50",78.85K,-0.36%,Bitcoin
24-May-22,"29,648.70","29,091.60","29,810.80","28,706.10",79.42K,1.91%,Bitcoin
23-May-22,"29,093.30","30,287.30","30,644.80","28,913.60",92.10K,-3.94%,Bitcoin
22-May-22,"30,286.60","29,433.00","30,462.00","29,260.10",50.60K,2.89%,Bitcoin
21-May-22,"29,434.60","29,188.70","29,623.20","28,953.90",32.27K,0.88%,Bitcoin
20-May-22,"29,178.60","30,305.90","30,735.10","28,738.50",98.78K,-3.72%,Bitcoin
19-May-22,"30,305.90","28,700.40","30,525.10","28,682.10",101.38K,5.66%,Bitcoin
18-May-22,"28,683.70","30,437.50","30,687.90","28,648.10",92.03K,-5.76%,Bitcoin
17-May-22,"30,437.50","29,856.70","30,720.10","29,484.50",79.63K,1.97%,Bitcoin
16-May-22,"29,849.00","31,308.30","31,312.40","29,135.80",100.25K,-4.66%,Bitcoin
15-May-22,"31,308.70","30,078.60","31,383.80","29,499.40",65.44K,4.08%,Bitcoin
14-May-22,"30,080.40","29,285.20","30,277.40","28,666.70",70.46K,2.72%,Bitcoin
13-May-22,"29,284.40","28,994.30","31,002.70","28,755.00",141.23K,1.06%,Bitcoin
12-May-22,"28,976.00","29,073.40","30,136.70","26,500.50",309.48K,-0.32%,Bitcoin
11-May-22,"29,068.20","31,008.00","32,113.60","27,835.50",296.90K,-6.25%,Bitcoin
10-May-22,"31,007.50","30,098.20","32,621.20","29,831.00",235.61K,3.03%,Bitcoin
9-May-22,"30,095.00","34,041.00","34,227.00","30,095.00",268.09K,-11.64%,Bitcoin
8-May-22,"34,060.00","35,468.00","35,497.00","33,727.00",671.05M,-3.97%,Bitcoin
7-May-22,"35,468.00","36,003.00","36,119.00","34,773.00",288.86M,-1.50%,Bitcoin
6-May-22,"36,009.00","36,540.00","36,646.00","35,267.00",752.84M,-1.46%,Bitcoin
5-May-22,"36,544.00","39,686.00","39,833.00","36,183.00",1.04B,-7.92%,Bitcoin
4-May-22,"39,688.00","37,717.00","40,021.00","37,660.00",691.49M,5.22%,Bitcoin
3-May-22,"37,718.00","38,515.00","38,647.00","37,513.00",367.21M,-2.07%,Bitcoin
